Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Battery type,AC charging time,Battery capacity,Previous owners,Warranty until,Price
Mazda,MX-30,White,Brown interior,Part leather interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,107,1627.0,0,No emission class,18890,2022,Lithium-ion (Li-ion),1.5,36.0,1,3.0,23199.0
Renault,Captur,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,67,999.0,122,Euro 6d,16990,2023,No battery type class,0.0,0.0,1,3.0,18849.0
Volkswagen,Golf,Silver,Beige interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,81,999.0,108,Euro 6,84467,2021,No battery type class,0.0,0.0,1,3.0,20399.0
Mercedes-Benz,A 200,White,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,120,1332.0,122,Euro 6d-TEMP,56500,2019,No battery type class,0.0,0.0,Unknown,4.0,33049.0
Renault,Austral,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,147,1199.0,0,Euro 6,10,2023,No battery type class,0.0,0.0,Unknown,3.0,55049.0
Mazda,MX-5,Blue,Black interior,Cloth interior,Cabriolet,2/3 doors,2,Petrol,Manual,4x2,97,1496.0,143,Euro 6d,1,2023,No battery type class,0.0,0.0,Unknown,3.0,35449.0
Kia,pro_cee'd / ProCeed,Green,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,150,1591.0,142,Euro 6d,3000,2023,No battery type class,0.0,0.0,1,4.0,39449.0
Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,116,Euro 6,29862,2022,No battery type class,0.0,0.0,1,2.0,26299.0
Opel,Combo,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,2,Diesel,Manual,4x2,70,1248.0,133,Euro 6,77051,2018,No battery type class,0.0,0.0,Unknown,3.0,15649.0
MINI,One D Countryman,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,85,1496.0,109,Euro 6,75489,2019,No battery type class,0.0,0.0,Unknown,4.0,27249.0
Volkswagen,T6 California,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,4,Diesel,Automatic,4x2,110,1968.0,179,Euro 6d,16209,2023,No battery type class,0.0,0.0,Unknown,3.0,68049.0
Volkswagen,Golf,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,115,Euro 6d-TEMP,57200,2020,No battery type class,0.0,0.0,2,3.0,21449.0
Volkswagen,T-Cross,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,85,999.0,114,Euro 6d-TEMP,67063,2019,No battery type class,0.0,0.0,1,3.0,18199.0
Volkswagen,Polo,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,70,999.0,105,Euro 6,19000,2022,No battery type class,0.0,0.0,1,3.0,24749.0
Opel,Corsa,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,1199.0,98,Euro 6d,45300,2020,No battery type class,0.0,0.0,2,3.0,15299.0
Volkswagen,Crafter,Black,Other interior color,Other interior material,Cargo VAN,4/5 doors,3,Diesel,Automatic,4x2,130,1998.0,196,No emission class,25542,2022,No battery type class,0.0,0.0,Unknown,3.0,67299.0
Mazda,MX-5,Black,Black interior,Part leather interior,Cabriolet,2/3 doors,2,Petrol,Manual,4x2,135,1998.0,156,Euro 6d,18790,2022,No battery type class,0.0,0.0,1,3.0,30499.0
Audi,A4,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,130,1998.0,129,Euro 5,137000,2013,No battery type class,0.0,0.0,Unknown,4.0,16399.0
Volkswagen,Caddy,Black,Black interior,Velour interior,Cargo VAN,4/5 doors,5,Diesel,Automatic,4x2,90,1968.0,122,Euro 6d-TEMP,0,2023,No battery type class,0.0,0.0,Unknown,3.0,44449.0
Mazda,CX-3,Red,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,89,1998.0,140,Euro 6,34100,2021,No battery type class,0.0,0.0,Unknown,3.0,22049.0
BMW,118,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,100,1499.0,0,Euro 6,79661,2016,No battery type class,0.0,0.0,2,4.0,16899.0
Mazda,CX-5,Grey,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x4,135,2191.0,147,Euro 6d-TEMP,32690,2020,No battery type class,0.0,0.0,2,3.0,31349.0
Skoda,Enyaq,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,150,1373.0,0,Euro 6d-TEMP,20090,2021,Lithium-ion (Li-ion),3.3333333333333335,82.0,Unknown,3.0,50649.0
Seat,Ibiza,White,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,999.0,104,Euro 6d-TEMP,42735,2020,No battery type class,0.0,0.0,1,4.0,17699.0
Mazda,6,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,143,2488.0,156,Euro 6d,16890,2022,No battery type class,0.0,0.0,1,3.0,33749.0
Opel,Crossland,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,1199.0,112,Euro 6d,9904,2022,No battery type class,0.0,0.0,1,3.0,23299.0
Mitsubishi,Space Star,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,52,1193.0,116,Euro 6d,0,2023,No battery type class,0.0,0.0,Unknown,7.0,16749.0
Fiat,500,White,Other interior color,Other interior material,Hatchback,2/3 doors,4,Petrol,Manual,4x2,63,875.0,108,Euro 6,40128,2019,No battery type class,0.0,0.0,Unknown,5.0,13399.0
Volkswagen,T-Roc,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,1498.0,120,Euro 6,4146,2023,No battery type class,0.0,0.0,1,3.0,30449.0
BMW,440,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x4,275,2998.0,0,Euro 6d,9416,2023,No battery type class,0.0,0.0,1,4.0,61999.0
Audi,A3,Black,Black interior,Full leather interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,150,1395.0,109,Euro 6,41840,2020,Lithium-ion (Li-ion),4.0,9.0,Unknown,4.0,28349.0
Hyundai,Staria,Grey,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,Diesel,Automatic,4x4,130,2199.0,0,Euro 6d,18400,2022,No battery type class,0.0,0.0,Unknown,5.0,53649.0
Volkswagen,Golf,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,103,Euro 6,44776,2022,No battery type class,0.0,0.0,1,2.0,28899.0
Cupra,Leon,Grey,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,213,1984.0,152,Euro 6,46850,2020,No battery type class,0.0,0.0,Unknown,3.0,29599.0
Volkswagen,Golf,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,96,1498.0,117,Euro 6d,11844,2023,No battery type class,0.0,0.0,1,3.0,28899.0
Mercedes-Benz,C 220,Grey,Other interior color,Other interior material,Coupe,2/3 doors,4,Diesel,Automatic,4x4,143,1950.0,129,Euro 6,49950,2020,No battery type class,0.0,0.0,Unknown,4.0,46999.0
Mercedes-Benz,E 300,Black,Grey interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,180,1950.0,147,Euro 6d-TEMP,163961,2019,No battery type class,0.0,0.0,Unknown,4.0,38399.0
BMW,X4,Red,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,240,2993.0,162,Euro 6c,71600,2020,No battery type class,0.0,0.0,2,4.0,52199.0
Nissan,Leaf,Grey,Other interior color,Part leather interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,110,1217.0,0,No emission class,27834,2019,Lithium-ion (Li-ion),1.0,40.0,Unknown,4.0,21099.0
Audi,Q3,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,140,1968.0,146,Euro 6d-TEMP,112370,2019,No battery type class,0.0,0.014084507042253521,1,4.0,30999.0
Skoda,Enyaq,Black,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,Electric,Automatic,4x2,210,1373.0,0,No emission class,0,2023,Lithium-ion (Li-ion),8.0,82.0,Unknown,3.0,63799.0
Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,85,999.0,116,Euro 6d-TEMP,35619,2020,No battery type class,0.0,0.0,1,3.0,19549.0
Renault,Clio,Silver,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,66,898.0,105,Euro 6,46365,2019,No battery type class,0.0,0.0,Unknown,3.0,11799.0
Volkswagen,T-Roc,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1498.0,124,Euro 6,30850,2022,No battery type class,0.0,0.0,1,2.0,31499.0
Citroen,C3,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,61,1199.0,100,Euro 6,50185,2021,No battery type class,0.0,10.2,1,3.0,14899.0
Audi,Q2,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,85,1968.0,107,Euro 6d,19044,2022,No battery type class,0.0,0.0,Unknown,4.0,29249.0
Fiat,500L,Grey,Other interior color,Other interior material,MPV,4/5 doors,5,Petrol,Manual,4x2,70,1368.0,140,Euro 6d-TEMP,39371,2020,No battery type class,0.0,0.0,Unknown,3.0,15849.0
Mercedes-Benz,A 180,Black,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,90,1595.0,131,Euro 6,48364,2017,No battery type class,0.0,0.0,2,4.0,20999.0
Volkswagen,Tiguan,Silver,Grey interior,Alcantara interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,180,1984.0,168,Euro 6d,9800,2023,No battery type class,0.0,0.0,1,3.0,57349.0
Mercedes-Benz,GLC 220,Black,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,145,1993.0,136,Euro 6d-TEMP,35377,2022,No battery type class,0.0,0.0,Unknown,4.0,70399.0
Skoda,Octavia,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,1968.0,119,Euro 6d-TEMP,47103,2019,No battery type class,0.0,0.0,Unknown,3.0,22199.0
Seat,Ateca,White,Grey interior,Alcantara interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,110,1968.0,124,Euro 6d-TEMP,61200,2020,No battery type class,0.0,0.0,1,4.0,25949.0
Mercedes-Benz,E 63 AMG,Blue,Black interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,420,3982.0,280,Euro 6d-TEMP,58542,2018,No battery type class,0.0,0.0,1,4.0,66949.0
Volkswagen,Golf,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,81,999.0,104,Euro 6,21916,2023,No battery type class,0.0,0.0,1,1.0,26199.0
BMW,420,Black,Black interior,Full leather interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,135,1998.0,152,Euro 6,15261,2022,No battery type class,0.0,0.0,Unknown,3.0,59599.0
Seat,Ateca,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,85,999.0,122,Euro 6d-TEMP,75000,2020,No battery type class,0.0,0.0,Unknown,4.0,22399.0
BMW,118,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,103,1499.0,0,No emission class,46609,2020,No battery type class,0.0,0.0,Unknown,4.0,20299.0
Audi,A4,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,140,1968.0,115,Euro 6,138939,2018,No battery type class,0.0,0.014084507042253521,2,4.0,21099.0
BMW,X1,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,170,1995.0,133,Euro 6,93851,2018,No battery type class,0.0,0.0,Unknown,4.0,23599.0
Opel,Corsa,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,1009.0,0,No emission class,0,2023,Lithium-ion (Li-ion),1.0526315789473684,50.0,Unknown,3.0,28199.0
Volkswagen,Polo,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,71,999.0,110,Euro 6,53140,2021,No battery type class,0.0,0.0,Unknown,3.0,20049.0
Fiat,500,Grey,Other interior color,Other interior material,Hatchback,2/3 doors,4,Petrol,Manual,4x2,51,999.0,88,No emission class,30531,2022,No battery type class,0.0,0.0,Unknown,3.0,14299.0
Volkswagen,Golf,Yellow,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Manual,4x2,85,1598.0,109,Euro 6,128800,2018,No battery type class,0.0,0.0,1,3.0,15649.0
BMW,330,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,210,2993.0,116,Euro 6,11854,2022,No battery type class,0.0,0.0,1,4.0,49499.0
Citroen,C3,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,81,1199.0,106,Euro 6,67286,2019,No battery type class,0.0,0.0,Unknown,5.0,14199.0
Peugeot,Partner,Grey,Grey interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,73,1560.0,112,Euro 6,157648,2019,No battery type class,0.0,0.0,Unknown,3.0,13399.0
Audi,A3,Grey,Black interior,Part leather interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,150,1395.0,117,Euro 6,22960,2020,Lithium-ion (Li-ion),4.0,48.19047619047619,Unknown,4.0,27399.0
Volkswagen,Taigo,White,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,1500.0,116,Euro 6d,10119,2023,No battery type class,0.0,0.0,Unknown,3.0,27799.0
Opel,Corsa,Red,Black interior,Alcantara interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,96,1199.0,103,Euro 6d,23950,2022,No battery type class,0.0,0.0,1,3.0,20749.0
